,mean,mean,mean,mean,mean,mean,mean,count,count,count,count,count,count,count
,random_r,random_r1,sr1o,sro,zmscore,zrandom_rank,zrank,random_r,random_r1,sr1o,sro,zmscore,zrandom_rank,zrank
iteration,,,,,,,,,,,,,,
140.0,5.442727500000001,2.51315,2.1184400000000005,4.53744,1115.05,353.45,1399.6,10,10,10,10,10,10,10
141.0,5.44382,2.5079825,2.1041700000000003,4.53998,1116.15,353.5,1400.2,10,10,10,10,10,10,10
142.0,5.444940000000001,2.5028175,2.08997,4.54254,1117.15,353.55,1401.0,10,10,10,10,10,10,10
143.0,5.446067500000001,2.497685,2.0758699999999997,4.545170000000001,1118.85,353.575,1401.5,10,10,10,10,10,10,10
144.0,5.4472025,2.4925525,2.06183,4.54782,1121.05,353.825,1402.2,10,10,10,10,10,10,10
145.0,5.44835,2.4874525000000003,2.04792,4.550549999999999,1122.35,353.7375,1402.6,10,10,10,10,10,10,10
146.0,5.4495125,2.4823625,2.0340700000000003,4.55331,1123.55,353.875,1403.6,10,10,10,10,10,10,10
147.0,5.4506975,2.477295,2.0203100000000003,4.55611,1125.05,353.625,1404.2,10,10,10,10,10,10,10
148.0,5.4518775,2.4722525,2.0066300000000004,4.55895,1126.35,353.775,1405.0,10,10,10,10,10,10,10
149.0,5.4530775,2.4672199999999997,1.9930600000000003,4.561859999999999,1127.45,353.425,1405.4,10,10,10,10,10,10,10
150.0,5.4542825,2.46221,1.97954,4.56479,1128.35,353.625,1405.3,10,10,10,10,10,10,10
151.0,5.455515,2.45721,1.9661500000000003,4.56777,1129.85,353.6,1405.8,10,10,10,10,10,10,10
152.0,5.456740000000001,2.45224,1.9528100000000002,4.570790000000001,1131.05,353.5,1405.7,10,10,10,10,10,10,10
153.0,5.4579949999999995,2.4472725,1.9395700000000002,4.57386,1132.55,353.1,1406.2,10,10,10,10,10,10,10
154.0,5.4592575000000005,2.442335,1.9264,4.57697,1133.75,352.725,1406.4,10,10,10,10,10,10,10
155.0,5.460519999999999,2.4374100000000003,1.91332,4.58014,1135.25,352.6625,1406.6,10,10,10,10,10,10,10
156.0,5.461807500000001,2.4325024999999996,1.9003299999999999,4.583330000000001,1136.05,352.6,1407.1,10,10,10,10,10,10,10
157.0,5.4631,2.4276074999999997,1.8874300000000002,4.58657,1136.75,352.225,1407.4,10,10,10,10,10,10,10
158.0,5.464417500000001,2.4227275,1.8746200000000002,4.58986,1137.95,351.55,1407.6,10,10,10,10,10,10,10
159.0,5.465734999999999,2.4178725,1.8618700000000001,4.593179999999999,1139.85,351.125,1407.8,10,10,10,10,10,10,10
160.0,5.467065000000001,2.4130325000000004,1.84923,4.596560000000001,1141.25,350.7625,1408.1,10,10,10,10,10,10,10
161.0,5.468402500000001,2.4082075000000005,1.8366599999999997,4.599960000000001,1142.45,350.2,1408.2,10,10,10,10,10,10,10
162.0,5.4697625,2.4033925,1.8241699999999998,4.603400000000001,1145.25,350.0,1408.0,10,10,10,10,10,10,10
163.0,5.4711324999999995,2.3985875,1.81178,4.6069,1146.35,349.425,1408.0,10,10,10,10,10,10,10
164.0,5.4725175,2.393815,1.79947,4.610449999999999,1147.15,348.875,1408.5,10,10,10,10,10,10,10
165.0,5.473915,2.3890599999999997,1.7872499999999998,4.6140099999999995,1149.15,348.45,1408.7,10,10,10,10,10,10,10
166.0,5.4753075,2.3842925,1.77509,4.617609999999999,1150.65,347.9,1408.9,10,10,10,10,10,10,10
167.0,5.47673,2.37957,1.7630299999999999,4.62127,1152.75,347.25,1408.9,10,10,10,10,10,10,10
168.0,5.4781575,2.37486,1.7510400000000002,4.62496,1153.75,346.725,1408.8,10,10,10,10,10,10,10
169.0,5.4796025,2.3701524999999997,1.73913,4.628690000000001,1154.85,345.975,1408.5,10,10,10,10,10,10,10
170.0,5.481047500000001,2.36546,1.7273100000000003,4.632479999999999,1155.75,345.5,1408.3,10,10,10,10,10,10,10
171.0,5.482514999999999,2.36079,1.71557,4.636279999999999,1157.05,344.875,1408.1,10,10,10,10,10,10,10
172.0,5.483995,2.3561325,1.70392,4.64013,1158.95,344.3625,1408.2,10,10,10,10,10,10,10
173.0,5.485472499999999,2.3514875,1.69235,4.64401,1160.15,343.675,1407.5,10,10,10,10,10,10,10
174.0,5.4869875,2.3468600000000004,1.6808300000000003,4.64794,1162.85,342.975,1407.4,10,10,10,10,10,10,10
175.0,5.4885,2.342245,1.6694300000000002,4.65189,1164.05,342.45,1407.2,10,10,10,10,10,10,10
176.0,5.490024999999999,2.3376375000000005,1.65809,4.65589,1166.65,341.85,1407.0,10,10,10,10,10,10,10
177.0,5.491552500000001,2.333055,1.6468099999999999,4.65993,1168.65,341.225,1406.5,10,10,10,10,10,10,10
178.0,5.4931075,2.3284800000000003,1.6356600000000001,4.66399,1171.15,340.75,1406.2,10,10,10,10,10,10,10
179.0,5.4946600000000005,2.3239224999999997,1.62452,4.66811,1173.55,339.875,1406.3,10,10,10,10,10,10,10
180.0,5.496235,2.3193725,1.6134999999999997,4.67225,1175.45,339.2125,1406.1,10,10,10,10,10,10,10
181.0,5.497814999999999,2.3148475,1.6025499999999997,4.67643,1178.35,338.4,1405.8,10,10,10,10,10,10,10
182.0,5.499420000000001,2.3103225000000003,1.59167,4.68064,1179.85,337.8,1406.0,10,10,10,10,10,10,10
183.0,5.5010175,2.3058150000000004,1.58088,4.68489,1181.35,337.375,1405.5,10,10,10,10,10,10,10
184.0,5.50264,2.301325,1.57015,4.68915,1183.15,336.25,1404.7,10,10,10,10,10,10,10
185.0,5.50427,2.2968450000000002,1.55954,4.6935199999999995,1185.15,335.275,1404.2,10,10,10,10,10,10,10
186.0,5.5059125,2.2923824999999995,1.54895,4.69784,1187.55,334.25,1404.1,10,10,10,10,10,10,10
187.0,5.5075650000000005,2.287935,1.53847,4.702240000000001,1189.85,333.4,1403.4,10,10,10,10,10,10,10
188.0,5.509225000000002,2.2834899999999996,1.52804,4.706650000000001,1193.35,332.575,1403.2,10,10,10,10,10,10,10
189.0,5.51091,2.279065,1.5177,4.7111,1195.45,331.65,1402.3,10,10,10,10,10,10,10
190.0,5.512605000000001,2.2746524999999997,1.5074200000000002,4.71559,1197.05,330.9,1401.7,10,10,10,10,10,10,10
191.0,5.5142975,2.2702525,1.49723,4.72011,1199.45,329.875,1401.0,10,10,10,10,10,10,10
192.0,5.515997499999999,2.2658575,1.4870899999999998,4.72466,1201.05,328.8875,1401.1,10,10,10,10,10,10,10
193.0,5.5177225,2.2614875000000003,1.4770499999999998,4.729229999999999,1203.05,328.0,1399.8,10,10,10,10,10,10,10
